webId,erpProductId,erpSku,erpName,siteName,siteSlug,collection,sitePriceToman,isNew,nameDiffers
MOAK-DAMN-FILTERED-HAVANA,cmqgqi7jr0000ycrewm2rzicp,FILTERED/HAVNA,"DAMN FILTERED - Havana","DAMN FILTERED - Havana",damn-filtered-havana,"DAMN.",16500000,1,
MOAK-DAMN-OFFLINE-GREEN,cmqgobewb0001lvvk50ph0j3a,OFFLINE/GREN,"DAMN OFFLINE - Green","DAMN OFFLINE - Green",damn-offline-green,"DAMN.",16500000,1,
MOAK-DAMN-LOUD-BLACK,cmqgo2xs1000ai19qv8skodi9,LOUD/BLK,"DAMN LOUD - Black","DAMN LOUD - Black",damn-loud-black,"DAMN.",14000000,1,
MOAK-DAMN-STATIC-BLACK,cmqgo2b740009i19qjh3u7fjr,STATIC/BLK,"DAMN STATIC - Black","DAMN STATIC - Black",damn-static-black,"DAMN.",12700000,1,
MOAK-DAMN-MUTED-BLACK,cmqgo1sxp0008i19qn5so3l7q,MUTED/BLK,"DAMN MUTED - Black","DAMN MUTED - Black",damn-muted-black,"DAMN.",13000000,1,
MOAK-DAMN-ARCHIVED-BLACK,cmqgo1drm0007i19qyac4c5lw,ARCHIVED/BLK,"DAMN ARCHIVED - Black","DAMN ARCHIVED - Black",damn-archived-black,"DAMN.",15000000,1,
MOAK-DAMN-MOODY-HAVANA,cmqgo0xhv0006i19qil8nfx19,MOODY/HVNA,"DAMN MOODY - Havana","DAMN MOODY - Havana",damn-moody-havana,"DAMN.",18000000,1,
MOAK-DAMN-PINNED-BROWN,cmqgo0jci0005i19qglwi9so4,PINNED/BRWNGREN,"DAMN PINNED - Brown Green","DAMN PINNED - Brown",damn-pinned-brown,"DAMN.",33000000,1,1
MOAK-DAMN-RARE-BLUE,cmqgo05pn0004i19qfeqhmo37,RARE/BLKBLU,"DAMN RARE - Black & Blue","DAMN RARE - Blue",damn-rare-blue,"DAMN.",35000000,1,1
MOAK-DAMN-FILTERED-BLACK,cmqgnzsc50003i19q7wom1dsi,FILTERED/BLK,"DAMN FILTERED - Black","DAMN FILTERED - Black",damn-filtered-black,"DAMN.",16500000,1,
MOAK-DAMN-POSTED-BLACK,cmqgnz98m0002i19qfvkvlr0o,POSTED/BLK,"DAMN POSTED - Black","DAMN POSTED - Black",damn-posted-black,"DAMN.",18000000,1,
MOAK-DAMN-OFFLINE-BLACK,cmqgnws4s0000i19q1kylhocl,OFFLINE-BLK,"DAMN OFFLINE - Black","DAMN OFFLINE - Black",damn-offline-black,"DAMN.",16500000,1,
